;Date;Team1;Team2;Map;Event;event_type;event_tier
0;22/12/19;Vitality (16);MOUZ (9);nuke  Nuke;EPICENTER 2019;BigEvents;S
1;22/12/19;Vitality (16);MOUZ (12);mrg  Mirage;EPICENTER 2019;BigEvents;S
2;22/12/19;MOUZ (19);Vitality (16);inf  Inferno;EPICENTER 2019;BigEvents;S
3;22/12/19;MOUZ (16);Evil Geniuses (14);ovp  Overpass;EPICENTER 2019;BigEvents;S
4;22/12/19;MOUZ (16);Evil Geniuses (12);trn  Train;EPICENTER 2019;BigEvents;S
5;22/12/19;Heroic (12);Vitality (16);inf  Inferno;EPICENTER 2019;BigEvents;S
6;22/12/19;Vitality (16);Heroic (12);vtg  Vertigo;EPICENTER 2019;BigEvents;S
7;21/12/19;Natus Vincere (14);Evil Geniuses (16);d2  Dust2;EPICENTER 2019;BigEvents;S
8;21/12/19;Natus Vincere (10);Evil Geniuses (16);mrg  Mirage;EPICENTER 2019;BigEvents;S
9;21/12/19;forZe (12);Heroic (16);nuke  Nuke;EPICENTER 2019;BigEvents;S
10;21/12/19;Heroic (16);forZe (6);mrg  Mirage;EPICENTER 2019;BigEvents;S
11;19/12/19;Evil Geniuses (10);forZe (16);inf  Inferno;EPICENTER 2019;BigEvents;S
12;19/12/19;forZe (16);Evil Geniuses (1);mrg  Mirage;EPICENTER 2019;BigEvents;S
13;19/12/19;Evil Geniuses (16);forZe (6);nuke  Nuke;EPICENTER 2019;BigEvents;S
14;19/12/19;Heroic (9);Natus Vincere (16);inf  Inferno;EPICENTER 2019;BigEvents;S
15;19/12/19;Heroic (6);Natus Vincere (16);trn  Train;EPICENTER 2019;BigEvents;S
16;19/12/19;Natus Vincere (9);Heroic (16);nuke  Nuke;EPICENTER 2019;BigEvents;S
17;19/12/19;forZe (16);Virtus.pro (10);vtg  Vertigo;EPICENTER 2019;BigEvents;S
18;19/12/19;Virtus.pro (16);forZe (13);inf  Inferno;EPICENTER 2019;BigEvents;S
19;19/12/19;forZe (16);Virtus.pro (3);trn  Train;EPICENTER 2019;BigEvents;S
20;19/12/19;EHOME (1);Heroic (16);nuke  Nuke;EPICENTER 2019;BigEvents;S
21;19/12/19;Heroic (16);EHOME (5);inf  Inferno;EPICENTER 2019;BigEvents;S
22;18/12/19;MOUZ (16);Evil Geniuses (4);inf  Inferno;EPICENTER 2019;BigEvents;S
23;18/12/19;Evil Geniuses (11);MOUZ (16);trn  Train;EPICENTER 2019;BigEvents;S
24;18/12/19;MOUZ (22);Virtus.pro (19);d2  Dust2;EPICENTER 2019;BigEvents;S
25;18/12/19;MOUZ (16);Virtus.pro (11);mrg  Mirage;EPICENTER 2019;BigEvents;S
26;18/12/19;Virtus.pro (16);MOUZ (11);inf  Inferno;EPICENTER 2019;BigEvents;S
27;18/12/19;Evil Geniuses (16);forZe (4);nuke  Nuke;EPICENTER 2019;BigEvents;S
28;18/12/19;forZe (14);Evil Geniuses (16);mrg  Mirage;EPICENTER 2019;BigEvents;S
29;17/12/19;Vitality (16);Natus Vincere (3);nuke  Nuke;EPICENTER 2019;BigEvents;S
30;17/12/19;Vitality (16);Natus Vincere (3);inf  Inferno;EPICENTER 2019;BigEvents;S
31;17/12/19;Natus Vincere (16);Vitality (4);d2  Dust2;EPICENTER 2019;BigEvents;S
32;17/12/19;Natus Vincere (16);Heroic (5);nuke  Nuke;EPICENTER 2019;BigEvents;S
33;17/12/19;Heroic (8);Natus Vincere (16);inf  Inferno;EPICENTER 2019;BigEvents;S
34;17/12/19;EHOME (1);Vitality (16);nuke  Nuke;EPICENTER 2019;BigEvents;S
35;17/12/19;Vitality (16);EHOME (12);inf  Inferno;EPICENTER 2019;BigEvents;S
36;14/12/19;Liquid (12);Astralis (16);nuke  Nuke;BLAST Pro Series Global Final 2019;BigEvents;S
37;14/12/19;Astralis (16);Liquid (11);inf  Inferno;BLAST Pro Series Global Final 2019;BigEvents;S
38;14/12/19;Ninjas in Pyjamas (14);Liquid (16);mrg  Mirage;BLAST Pro Series Global Final 2019;BigEvents;S
39;14/12/19;Liquid (16);Ninjas in Pyjamas (10);ovp  Overpass;BLAST Pro Series Global Final 2019;BigEvents;S
40;13/12/19;Liquid (16);FaZe (10);nuke  Nuke;BLAST Pro Series Global Final 2019;BigEvents;S
41;13/12/19;Liquid (12);FaZe (16);d2  Dust2;BLAST Pro Series Global Final 2019;BigEvents;S
42;13/12/19;FaZe (13);Liquid (16);mrg  Mirage;BLAST Pro Series Global Final 2019;BigEvents;S
43;13/12/19;Ninjas in Pyjamas (8);Astralis (16);nuke  Nuke;BLAST Pro Series Global Final 2019;BigEvents;S
44;13/12/19;Astralis (16);Ninjas in Pyjamas (11);trn  Train;BLAST Pro Series Global Final 2019;BigEvents;S
45;12/12/19;Astralis (16);Liquid (13);inf  Inferno;BLAST Pro Series Global Final 2019;BigEvents;S
46;12/12/19;Liquid (12);Astralis (16);nuke  Nuke;BLAST Pro Series Global Final 2019;BigEvents;S
47;12/12/19;Ninjas in Pyjamas (16);FaZe (7);mrg  Mirage;BLAST Pro Series Global Final 2019;BigEvents;S
48;12/12/19;FaZe (13);Ninjas in Pyjamas (16);vtg  Vertigo;BLAST Pro Series Global Final 2019;BigEvents;S
49;8/12/19;MOUZ (16);fnatic (11);mrg  Mirage;ESL Pro League Season 10 Finals;BigEvents;S
0;8/12/19;fnatic (10);MOUZ (16);trn  Train;ESL Pro League Season 10 Finals;BigEvents;S
1;8/12/19;MOUZ (16);fnatic (11);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
2;7/12/19;MOUZ (16);Astralis (14);d2  Dust2;ESL Pro League Season 10 Finals;BigEvents;S
3;7/12/19;MOUZ (9);Astralis (16);ovp  Overpass;ESL Pro League Season 10 Finals;BigEvents;S
4;7/12/19;Astralis (19);MOUZ (22);trn  Train;ESL Pro League Season 10 Finals;BigEvents;S
5;7/12/19;Natus Vincere (6);fnatic (16);ovp  Overpass;ESL Pro League Season 10 Finals;BigEvents;S
6;7/12/19;fnatic (16);Natus Vincere (11);nuke  Nuke;ESL Pro League Season 10 Finals;BigEvents;S
7;7/12/19;Natus Vincere (16);fnatic (14);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
8;6/12/19;MOUZ (16);Evil Geniuses (0);nuke  Nuke;ESL Pro League Season 10 Finals;BigEvents;S
9;6/12/19;MOUZ (17);Evil Geniuses (19);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
10;6/12/19;Evil Geniuses (6);MOUZ (16);trn  Train;ESL Pro League Season 10 Finals;BigEvents;S
11;6/12/19;fnatic (16);Liquid (8);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
12;6/12/19;Liquid (11);fnatic (16);ovp  Overpass;ESL Pro League Season 10 Finals;BigEvents;S
13;5/12/19;ATK (6);MOUZ (16);d2  Dust2;ESL Pro League Season 10 Finals;BigEvents;S
14;5/12/19;MOUZ (16);ATK (5);vtg  Vertigo;ESL Pro League Season 10 Finals;BigEvents;S
15;5/12/19;Astralis (16);Liquid (13);d2  Dust2;ESL Pro League Season 10 Finals;BigEvents;S
16;5/12/19;Liquid (7);Astralis (16);nuke  Nuke;ESL Pro League Season 10 Finals;BigEvents;S
17;5/12/19;Astralis (14);Liquid (16);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
18;5/12/19;fnatic (16);100 Thieves (5);mrg  Mirage;ESL Pro League Season 10 Finals;BigEvents;S
19;5/12/19;100 Thieves (13);fnatic (16);trn  Train;ESL Pro League Season 10 Finals;BigEvents;S
20;5/12/19;Natus Vincere (16);Evil Geniuses (11);nuke  Nuke;ESL Pro League Season 10 Finals;BigEvents;S
21;5/12/19;Evil Geniuses (5);Natus Vincere (16);d2  Dust2;ESL Pro League Season 10 Finals;BigEvents;S
22;5/12/19;Natus Vincere (12);Evil Geniuses (16);mrg  Mirage;ESL Pro League Season 10 Finals;BigEvents;S
23;5/12/19;Renegades (7);MOUZ (16);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
24;5/12/19;Renegades (8);MOUZ (16);trn  Train;ESL Pro League Season 10 Finals;BigEvents;S
25;5/12/19;MOUZ (14);Renegades (16);nuke  Nuke;ESL Pro League Season 10 Finals;BigEvents;S
26;5/12/19;G2 (6);ATK (16);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
27;5/12/19;ATK (16);G2 (13);trn  Train;ESL Pro League Season 10 Finals;BigEvents;S
28;5/12/19;ATK (4);G2 (16);vtg  Vertigo;ESL Pro League Season 10 Finals;BigEvents;S
29;4/12/19;fnatic (16);MIBR (11);vtg  Vertigo;ESL Pro League Season 10 Finals;BigEvents;S
30;4/12/19;fnatic (16);MIBR (19);d2  Dust2;ESL Pro League Season 10 Finals;BigEvents;S
31;4/12/19;MIBR (10);fnatic (16);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
32;4/12/19;Liquid (16);MOUZ (14);d2  Dust2;ESL Pro League Season 10 Finals;BigEvents;S
33;4/12/19;MOUZ (16);Liquid (12);vtg  Vertigo;ESL Pro League Season 10 Finals;BigEvents;S
34;4/12/19;Liquid (16);MOUZ (5);nuke  Nuke;ESL Pro League Season 10 Finals;BigEvents;S
35;4/12/19;FaZe (7);100 Thieves (16);mrg  Mirage;ESL Pro League Season 10 Finals;BigEvents;S
36;4/12/19;100 Thieves (12);FaZe (16);d2  Dust2;ESL Pro League Season 10 Finals;BigEvents;S
37;4/12/19;FaZe (11);100 Thieves (16);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
38;4/12/19;G2 (14);Astralis (16);trn  Train;ESL Pro League Season 10 Finals;BigEvents;S
39;4/12/19;G2 (15);Astralis (19);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
40;4/12/19;Astralis (13);G2 (16);d2  Dust2;ESL Pro League Season 10 Finals;BigEvents;S
41;4/12/19;Renegades (16);Sharks (12);nuke  Nuke;ESL Pro League Season 10 Finals;BigEvents;S
42;4/12/19;Renegades (16);Sharks (5);mrg  Mirage;ESL Pro League Season 10 Finals;BigEvents;S
43;4/12/19;Sharks (16);Renegades (7);d2  Dust2;ESL Pro League Season 10 Finals;BigEvents;S
44;4/12/19;North (8);ATK (16);vtg  Vertigo;ESL Pro League Season 10 Finals;BigEvents;S
45;4/12/19;ATK (16);North (9);ovp  Overpass;ESL Pro League Season 10 Finals;BigEvents;S
46;3/12/19;Heroic (13);fnatic (16);ovp  Overpass;ESL Pro League Season 10 Finals;BigEvents;S
47;3/12/19;fnatic (16);Heroic (13);vtg  Vertigo;ESL Pro League Season 10 Finals;BigEvents;S
48;3/12/19;Heroic (16);fnatic (9);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
49;3/12/19;100 Thieves (10);Evil Geniuses (16);nuke  Nuke;ESL Pro League Season 10 Finals;BigEvents;S
0;3/12/19;Evil Geniuses (16);100 Thieves (8);mrg  Mirage;ESL Pro League Season 10 Finals;BigEvents;S
1;3/12/19;Liquid (16);North (12);vtg  Vertigo;ESL Pro League Season 10 Finals;BigEvents;S
2;3/12/19;FaZe (16);TYLOO (7);mrg  Mirage;ESL Pro League Season 10 Finals;BigEvents;S
3;3/12/19;TYLOO (5);FaZe (16);d2  Dust2;ESL Pro League Season 10 Finals;BigEvents;S
4;3/12/19;FaZe (7);TYLOO (16);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
5;3/12/19;MIBR (4);Natus Vincere (16);d2  Dust2;ESL Pro League Season 10 Finals;BigEvents;S
6;3/12/19;Natus Vincere (16);MIBR (9);trn  Train;ESL Pro League Season 10 Finals;BigEvents;S
7;3/12/19;ATK (9);MOUZ (16);nuke  Nuke;ESL Pro League Season 10 Finals;BigEvents;S
8;3/12/19;Renegades (8);Astralis (16);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
9;3/12/19;G2 (16);Sharks (13);inf  Inferno;ESL Pro League Season 10 Finals;BigEvents;S
10;3/12/19;Evil Geniuses (16);fnatic (3);mrg  Mirage;ESL Pro League Season 10 Finals;BigEvents;S
11;3/12/19;Heroic (8);100 Thieves (16);vtg  Vertigo;ESL Pro League Season 10 Finals;BigEvents;S
12;3/12/19;FaZe (12);MIBR (16);mrg  Mirage;ESL Pro League Season 10 Finals;BigEvents;S
13;3/12/19;Natus Vincere (16);TYLOO (6);d2  Dust2;ESL Pro League Season 10 Finals;BigEvents;S
14;1/12/19;Liquid (8);Astralis (16);d2  Dust2;ECS Season 8 Finals;BigEvents;S
15;1/12/19;Liquid (11);Astralis (16);nuke  Nuke;ECS Season 8 Finals;BigEvents;S
16;1/12/19;Liquid (19);Astralis (15);vtg  Vertigo;ECS Season 8 Finals;BigEvents;S
17;1/12/19;fnatic (10);Liquid (16);mrg  Mirage;ECS Season 8 Finals;BigEvents;S
18;1/12/19;Liquid (16);fnatic (6);inf  Inferno;ECS Season 8 Finals;BigEvents;S
19;1/12/19;fnatic (16);Liquid (6);ovp  Overpass;ECS Season 8 Finals;BigEvents;S
20;30/11/19;Evil Geniuses (6);Astralis (16);ovp  Overpass;ECS Season 8 Finals;BigEvents;S
21;30/11/19;Astralis (13);Evil Geniuses (16);nuke  Nuke;ECS Season 8 Finals;BigEvents;S
22;30/11/19;Evil Geniuses (8);Astralis (16);inf  Inferno;ECS Season 8 Finals;BigEvents;S
23;30/11/19;MIBR (13);fnatic (16);inf  Inferno;ECS Season 8 Finals;BigEvents;S
24;30/11/19;fnatic (16);MIBR (9);vtg  Vertigo;ECS Season 8 Finals;BigEvents;S
25;29/11/19;Ninjas in Pyjamas (12);Evil Geniuses (16);inf  Inferno;ECS Season 8 Finals;BigEvents;S
26;29/11/19;Ninjas in Pyjamas (14);Evil Geniuses (16);nuke  Nuke;ECS Season 8 Finals;BigEvents;S
27;29/11/19;Ninjas in Pyjamas (16);Evil Geniuses (11);trn  Train;ECS Season 8 Finals;BigEvents;S
28;29/11/19;MIBR (16);Sharks (7);trn  Train;ECS Season 8 Finals;BigEvents;S
29;29/11/19;Sharks (13);MIBR (16);vtg  Vertigo;ECS Season 8 Finals;BigEvents;S
30;29/11/19;Ninjas in Pyjamas (16);AVANGAR (6);ovp  Overpass;ECS Season 8 Finals;BigEvents;S
31;29/11/19;AVANGAR (12);Ninjas in Pyjamas (16);trn  Train;ECS Season 8 Finals;BigEvents;S
32;29/11/19;fnatic (14);Astralis (16);inf  Inferno;ECS Season 8 Finals;BigEvents;S
33;29/11/19;fnatic (6);Astralis (16);nuke  Nuke;ECS Season 8 Finals;BigEvents;S
34;28/11/19;Liquid (16);Evil Geniuses (14);d2  Dust2;ECS Season 8 Finals;BigEvents;S
35;28/11/19;Liquid (16);Evil Geniuses (4);inf  Inferno;ECS Season 8 Finals;BigEvents;S
36;28/11/19;fnatic (16);MIBR (9);inf  Inferno;ECS Season 8 Finals;BigEvents;S
37;28/11/19;Astralis (19);Sharks (15);nuke  Nuke;ECS Season 8 Finals;BigEvents;S
38;28/11/19;Liquid (16);Ninjas in Pyjamas (4);mrg  Mirage;ECS Season 8 Finals;BigEvents;S
39;28/11/19;Evil Geniuses (16);AVANGAR (10);d2  Dust2;ECS Season 8 Finals;BigEvents;S
40;10/11/19;Astralis (16);100 Thieves (3);trn  Train;IEM Beijing 2019;BigEvents;S
41;10/11/19;100 Thieves (5);Astralis (16);nuke  Nuke;IEM Beijing 2019;BigEvents;S
42;10/11/19;Astralis (16);100 Thieves (14);vtg  Vertigo;IEM Beijing 2019;BigEvents;S
43;9/11/19;FaZe (2);Astralis (16);nuke  Nuke;IEM Beijing 2019;BigEvents;S
44;9/11/19;Astralis (16);FaZe (0);d2  Dust2;IEM Beijing 2019;BigEvents;S
45;9/11/19;100 Thieves (16);Vitality (2);inf  Inferno;IEM Beijing 2019;BigEvents;S
46;9/11/19;100 Thieves (16);Vitality (14);nuke  Nuke;IEM Beijing 2019;BigEvents;S
47;9/11/19;Vitality (16);100 Thieves (8);mrg  Mirage;IEM Beijing 2019;BigEvents;S
48;8/11/19;FaZe (19);Evil Geniuses (16);d2  Dust2;IEM Beijing 2019;BigEvents;S
49;8/11/19;FaZe (14);Evil Geniuses (16);inf  Inferno;IEM Beijing 2019;BigEvents;S
0;8/11/19;Evil Geniuses (12);FaZe (16);nuke  Nuke;IEM Beijing 2019;BigEvents;S
1;8/11/19;100 Thieves (16);ENCE (7);nuke  Nuke;IEM Beijing 2019;BigEvents;S
2;8/11/19;ENCE (9);100 Thieves (16);inf  Inferno;IEM Beijing 2019;BigEvents;S
3;8/11/19;Vitality (16);FaZe (3);inf  Inferno;IEM Beijing 2019;BigEvents;S
4;8/11/19;FaZe (16);Vitality (6);ovp  Overpass;IEM Beijing 2019;BigEvents;S
5;8/11/19;Vitality (16);FaZe (9);nuke  Nuke;IEM Beijing 2019;BigEvents;S
6;8/11/19;TYLOO (9);Evil Geniuses (16);inf  Inferno;IEM Beijing 2019;BigEvents;S
7;8/11/19;Evil Geniuses (16);TYLOO (12);mrg  Mirage;IEM Beijing 2019;BigEvents;S
8;7/11/19;ViCi (7);ENCE (16);mrg  Mirage;IEM Beijing 2019;BigEvents;S
9;7/11/19;ViCi (13);ENCE (16);trn  Train;IEM Beijing 2019;BigEvents;S
10;7/11/19;ENCE (13);ViCi (16);inf  Inferno;IEM Beijing 2019;BigEvents;S
11;7/11/19;100 Thieves (9);Astralis (16);nuke  Nuke;IEM Beijing 2019;BigEvents;S
12;7/11/19;Astralis (16);100 Thieves (10);inf  Inferno;IEM Beijing 2019;BigEvents;S
13;7/11/19;FaZe (16);Evil Geniuses (6);d2  Dust2;IEM Beijing 2019;BigEvents;S
14;7/11/19;Evil Geniuses (7);FaZe (16);nuke  Nuke;IEM Beijing 2019;BigEvents;S
15;7/11/19;TYLOO (6);Vitality (16);d2  Dust2;IEM Beijing 2019;BigEvents;S
16;7/11/19;Vitality (16);TYLOO (7);inf  Inferno;IEM Beijing 2019;BigEvents;S
17;7/11/19;ViCi (4);Astralis (16);nuke  Nuke;IEM Beijing 2019;BigEvents;S
18;7/11/19;Astralis (16);ViCi (5);inf  Inferno;IEM Beijing 2019;BigEvents;S
19;7/11/19;100 Thieves (16);ENCE (13);trn  Train;IEM Beijing 2019;BigEvents;S
20;7/11/19;ENCE (3);100 Thieves (16);inf  Inferno;IEM Beijing 2019;BigEvents;S
21;2/11/19;FaZe (16);Ninjas in Pyjamas (12);d2  Dust2;BLAST Pro Series Copenhagen 2019;BigEvents;S
22;2/11/19;FaZe (19);Ninjas in Pyjamas (17);nuke  Nuke;BLAST Pro Series Copenhagen 2019;BigEvents;S
23;2/11/19;Natus Vincere (16);Ninjas in Pyjamas (10);nuke  Nuke;BLAST Pro Series Copenhagen 2019;BigEvents;S
24;2/11/19;Liquid (16);FaZe (5);inf  Inferno;BLAST Pro Series Copenhagen 2019;BigEvents;S
25;2/11/19;Astralis (16);Cloud9 (3);nuke  Nuke;BLAST Pro Series Copenhagen 2019;BigEvents;S
26;2/11/19;Astralis (15);Natus Vincere (15);nuke  Nuke;BLAST Pro Series Copenhagen 2019;BigEvents;S
27;2/11/19;Cloud9 (14);FaZe (16);inf  Inferno;BLAST Pro Series Copenhagen 2019;BigEvents;S
28;2/11/19;Ninjas in Pyjamas (16);Liquid (11);mrg  Mirage;BLAST Pro Series Copenhagen 2019;BigEvents;S
29;2/11/19;Cloud9 (15);Natus Vincere (15);trn  Train;BLAST Pro Series Copenhagen 2019;BigEvents;S
30;2/11/19;Ninjas in Pyjamas (3);FaZe (16);d2  Dust2;BLAST Pro Series Copenhagen 2019;BigEvents;S
31;2/11/19;Astralis (16);Liquid (10);nuke  Nuke;BLAST Pro Series Copenhagen 2019;BigEvents;S
32;1/11/19;Natus Vincere (9);FaZe (16);nuke  Nuke;BLAST Pro Series Copenhagen 2019;BigEvents;S
33;1/11/19;Ninjas in Pyjamas (16);Astralis (7);ovp  Overpass;BLAST Pro Series Copenhagen 2019;BigEvents;S
34;1/11/19;Liquid (16);Cloud9 (4);inf  Inferno;BLAST Pro Series Copenhagen 2019;BigEvents;S
35;1/11/19;Natus Vincere (16);Liquid (14);d2  Dust2;BLAST Pro Series Copenhagen 2019;BigEvents;S
36;1/11/19;Ninjas in Pyjamas (16);Cloud9 (6);ovp  Overpass;BLAST Pro Series Copenhagen 2019;BigEvents;S
37;1/11/19;FaZe (16);Astralis (2);inf  Inferno;BLAST Pro Series Copenhagen 2019;BigEvents;S
38;27/10/19;Evil Geniuses (16);fnatic (9);mrg  Mirage;StarSeries i-League Season 8;BigEvents;S
39;27/10/19;Evil Geniuses (16);fnatic (12);d2  Dust2;StarSeries i-League Season 8;BigEvents;S
40;27/10/19;FURIA (15);fnatic (19);mrg  Mirage;StarSeries i-League Season 8;BigEvents;S
41;27/10/19;fnatic (16);FURIA (14);nuke  Nuke;StarSeries i-League Season 8;BigEvents;S
42;27/10/19;FURIA (16);fnatic (11);inf  Inferno;StarSeries i-League Season 8;BigEvents;S
43;26/10/19;FURIA (16);Renegades (11);mrg  Mirage;StarSeries i-League Season 8;BigEvents;S
44;26/10/19;FURIA (16);Renegades (9);nuke  Nuke;StarSeries i-League Season 8;BigEvents;S
45;26/10/19;Evil Geniuses (16);fnatic (13);inf  Inferno;StarSeries i-League Season 8;BigEvents;S
46;26/10/19;Evil Geniuses (16);fnatic (10);d2  Dust2;StarSeries i-League Season 8;BigEvents;S
47;26/10/19;fnatic (16);Evil Geniuses (2);mrg  Mirage;StarSeries i-League Season 8;BigEvents;S
48;26/10/19;Renegades (16);MIBR (5);mrg  Mirage;StarSeries i-League Season 8;BigEvents;S
49;26/10/19;MIBR (16);Renegades (5);trn  Train;StarSeries i-League Season 8;BigEvents;S
0;26/10/19;MIBR (6);Renegades (16);inf  Inferno;StarSeries i-League Season 8;BigEvents;S
1;26/10/19;FURIA (16);G2 (14);mrg  Mirage;StarSeries i-League Season 8;BigEvents;S
2;26/10/19;FURIA (16);G2 (14);vtg  Vertigo;StarSeries i-League Season 8;BigEvents;S
3;25/10/19;Evil Geniuses (16);Renegades (12);mrg  Mirage;StarSeries i-League Season 8;BigEvents;S
4;25/10/19;Renegades (5);Evil Geniuses (16);inf  Inferno;StarSeries i-League Season 8;BigEvents;S
5;25/10/19;fnatic (16);G2 (12);mrg  Mirage;StarSeries i-League Season 8;BigEvents;S
6;25/10/19;G2 (16);fnatic (14);d2  Dust2;StarSeries i-League Season 8;BigEvents;S
7;25/10/19;fnatic (16);G2 (11);ovp  Overpass;StarSeries i-League Season 8;BigEvents;S
8;25/10/19;MIBR (16);Ninjas in Pyjamas (12);mrg  Mirage;StarSeries i-League Season 8;BigEvents;S
9;25/10/19;Ninjas in Pyjamas (16);MIBR (7);inf  Inferno;StarSeries i-League Season 8;BigEvents;S
10;25/10/19;Ninjas in Pyjamas (9);MIBR (16);trn  Train;StarSeries i-League Season 8;BigEvents;S
